Trial                h values             omega_b values       omega_cdm values     A_s values           n_s values          
00000                0.699235321306       0.0209119248484      0.110669704501       2.32542796366e-09    1.04107411779       
00001                0.681194819939       0.0215682175383      0.11715305191        2.12292383492e-09    0.934102998922      
00002                0.725947979936       0.0227291734359      0.127378798625       2.30421003289e-09    0.980832506011      
00003                0.634563878206       0.0240016642468      0.116767916268       2.069342143e-09      1.04424804614       
00004                0.698636315682       0.0205977243093      0.111691530528       2.32741874122e-09    0.914780280523      
00005                0.661237232107       0.0219433038869      0.123743704053       2.39756986188e-09    0.870783827358      
00006                0.633935609244       0.0237681401108      0.112973577079       2.0097491797e-09     0.877347720203      
00007                0.729854626746       0.0235200823372      0.110192626852       2.20816720399e-09    0.976273560479      
00008                0.6997476756         0.0234630555321      0.115042624799       2.01808651708e-09    1.00814878687       
00009                0.667974106136       0.0225630572405      0.119882080283       2.19812571545e-09    1.05172722212       
00010                0.644937397471       0.0202820006216      0.114464041964       2.24277237862e-09    1.04892127808       
00011                0.633464337454       0.021945644371       0.114939641352       2.41435512321e-09    0.951137363443      
00012                0.681847296403       0.0233145779773      0.109396481298       2.20960560812e-09    0.960335529197      
00013                0.668949910912       0.0206363621153      0.130155305568       2.15770984129e-09    1.03962667508       
00014                0.641334370026       0.0228788238923      0.12055032227        2.13036302745e-09    1.05421881266       
00015                0.650060016326       0.0206664944869      0.123474117047       2.05508947684e-09    0.99432351594       
00016                0.739036411456       0.0235659384971      0.131962437833       2.19525105207e-09    0.880329397512      
00017                0.673745821002       0.0227012972596      0.118835409899       2.10027521443e-09    0.879980431345      
00018                0.710634204268       0.0215118747711      0.111231383314       2.21371010821e-09    1.02426565935       
00019                0.681789098741       0.0224172106572      0.132370751396       2.02343570804e-09    0.883162069162      
00020                0.720623976815       0.0231492823843      0.113822899366       2.06366778553e-09    0.95901455393       
00021                0.728282384763       0.020839246725       0.122618281006       2.17696058726e-09    1.04134723158       
00022                0.725729452142       0.0206112897647      0.114492879794       2.1303074821e-09     0.871291870458      
00023                0.708314110509       0.02144358672        0.130815504924       2.29822147383e-09    0.935364662228      
00024                0.661979142354       0.0210743694718      0.128013689335       2.07716568931e-09    1.05563067205       
00025                0.743050522875       0.0216780323811      0.119145417159       2.37809849071e-09    1.00956221184       
00026                0.661791427982       0.0236461248653      0.108952616791       2.33096289721e-09    0.992670020568      
00027                0.70544036135        0.020499754608       0.118665522013       2.35233555162e-09    0.890420718258      
00028                0.667746204834       0.0239440277288      0.108498638109       2.13393928146e-09    0.984130583646      
00029                0.733724390052       0.0235788305449      0.110406597176       2.35163640937e-09    1.04947686794       
00030                0.646515538754       0.0210675256448      0.121355316508       2.36142957149e-09    1.02129108591       
00031                0.657414876456       0.020060207787       0.126172033982       2.43115349342e-09    1.03459011066       
00032                0.731540482291       0.0198643565672      0.115895306054       2.21314793183e-09    0.979580093681      
00033                0.707568613965       0.0225275388417      0.113844348558       2.30650641842e-09    0.887760302298      
00034                0.734566109447       0.0239316541484      0.109920360245       2.02614660792e-09    0.887575829435      
00035                0.61171710541        0.0233725361428      0.118659745106       2.31833697313e-09    0.931673824249      
00036                0.672896359329       0.0204101833298      0.113166992226       2.09484020058e-09    1.05238294226       
00037                0.630722900763       0.0206273664603      0.116522186743       2.38578037075e-09    1.00552179148       
00038                0.639736436148       0.0219259615208      0.132058301531       2.14443514618e-09    0.988314596261      
00039                0.674801622686       0.0234145319941      0.128076291244       2.16754907348e-09    1.04865272137       
